类别,金额,已收金额,日期,源账户,目标账户,描述,代理,货币,检查编号,时间
食品,-23.79,,2025-08-31 20:39:25,支付宝,,鲜丰水果(杭州新里程店),淘宝闪购,CNY,,
食品,-46.8,,2025-08-31 17:44:46,支付宝,,粥皇港式茶餐厅(未来科技城店)外卖订单,淘宝闪购,CNY,,
其他,-33.0,,2025-08-31 14:48:51,支付宝,,收钱码收款,15601E170,CNY,,
交通,-10.66,,2025-08-31 13:41:17,支付宝,,高德打车订单,高德打车,CNY,,
食品,-45.8,,2025-08-31 12:46:00,支付宝,,KFC_PREAF10012537264806946517083,肯德基(椒江青悦城店),CNY,,
交通,-360.0,,2025-08-31 12:24:54,支付宝,,火车票,铁路12306,CNY,,
交通,-9.06,,2025-08-30 20:42:57,支付宝,,高德打车订单,高德打车,CNY,,
食品,-492.0,,2025-08-30 18:51:36,支付宝,,二维码支付,台州市新荣实业有限公司,CNY,,
交通,-250.6,,2025-08-30 16:02:42,支付宝,,高德打车订单,高德打车,CNY,,
交通,-44.0,,2025-08-30 15:38:51,支付宝,,浙江高速：浙江神仙居站-沿江(连接线),浙江台州甬台温高速公路有限公司,CNY,,
食品,-12.0,,2025-08-30 11:45:33,支付宝,,售货柜_可口可乐水动乐电解质饮料600mlx1,浙江神仙居商业发展有限公司,CNY,,
食品,-3.0,,2025-08-30 09:46:29,支付宝,,售货柜_神仙大农饮用水500mlx1,浙江神仙居商业发展有限公司,CNY,,
交通,-24.41,,2025-08-30 09:37:45,支付宝,,高德打车订单,高德打车,CNY,,
购物,-88.0,,2025-08-30 09:20:09,支付宝,,88VIP生活卡年卡,浙江天猫技术有限公司,CNY,,
交通,-11.04,,2025-08-29 17:03:15,支付宝,,高德打车订单,高德打车,CNY,,
交通,-12.14,,2025-08-29 16:49:39,支付宝,,高德打车订单,高德打车,CNY,,
交通,-8.05,,2025-08-29 13:40:49,支付宝,,高德打车订单,高德打车,CNY,,
食品,-3.0,,2025-08-29 13:34:06,支付宝,,美团充电宝,美团充电,CNY,,
食品,-93.0,,2025-08-29 13:33:44,支付宝,,8202103090181648,桃源人家白塔店,CNY,,
交通,-24.04,,2025-08-29 12:31:33,支付宝,,高德打车订单,高德打车,CNY,,
食品,-42.0,,2025-08-29 10:21:08,支付宝,,CHAGEE霸王茶姬（浙江杭州西站出发层店）,CHAGEE霸王茶姬,CNY,,
交通,-16.18,,2025-08-29 10:13:19,支付宝,,高德打车订单,高德打车,CNY,,
交通,-246.55,,2025-08-28 22:11:05,支付宝,,火车票,铁路12306,CNY,,
食品,-20.0,,2025-08-28 12:17:31,支付宝,,智盘消费_迈志豪把子肉-机具5362_刷脸时间_2025-08-28 12:17,擂椒拌饭,CNY,,
食品,-17.0,,2025-08-27 12:10:45,支付宝,,智盘消费_菜鸟-礼信-杭式小笼包-7151_刷脸时间_2025-08-27 12:10,杭式小笼包,CNY,,
食品,-18.0,,2025-08-26 12:06:09,支付宝,,智盘消费_麦金地-士林公子-机具5572_刷脸时间_2025-08-26 12:06,麦金地士林公子,CNY,,
亲属,16000.0,,2025-08-25 23:44:48,支付宝,,Transfer,a.k.a. 小黄蜂,CNY,,
食品,-8.8,,2025-08-25 13:46:21,支付宝,,拿铁【冷】,深圳市友咖科技有限公司,CNY,,
食品,-25.34,,2025-08-25 12:16:13,支付宝,,智盘消费_迈志豪-自选餐线A-机具5364_刷脸时间_2025-08-25 12:16,自选餐线A,CNY,,
亲属,-16000.0,,2025-08-24 22:06:24,支付宝,,转账,a.k.a. 小黄蜂(**咏),CNY,,
杂货,-80.33,,2025-08-24 18:20:22,支付宝,,质润二硫化硒洗发水控油蓬松去屑止痒洗头水水杨酸洗发液正品官方 等多件,质润**店,CNY,,
食品,-139.89,,2025-08-24 18:16:46,支付宝,,GEMEZ 小鸡干脆面(烧烤鸡肉味) 16g*12 印度尼西亚进口等多件,杭州盒马,CNY,,
食品,-37.2,,2025-08-24 11:46:36,支付宝,,火锅・茶憩(杭州EFC欧美广场店)外卖订单,淘宝闪购,CNY,,
食品,-38.28,,2025-08-23 19:48:03,支付宝,,肯德基宅急送(文一西路店)外卖订单,淘宝闪购,CNY,,
交通,-70.94,,2025-08-23 12:58:13,支付宝,,高德打车订单,高德打车,CNY,,
医疗,-666.72,,2025-08-23 10:21:56,支付宝,,消费,杭州华东大药房连锁有限公司,CNY,,
医疗,-0.0,,2025-08-23 10:20:49,支付宝,,医保支付(不含自费),杭州华东大药房连锁有限公司留下连锁店,CNY,,
医疗,-442.0,,2025-08-23 10:06:10,支付宝,,窗口条码,杭州市西溪医院,CNY,,
医疗,-0.0,,2025-08-23 10:03:59,支付宝,,医保支付(不含自费),杭州市西溪医院,CNY,,
交通,-25.14,,2025-08-23 09:53:57,支付宝,,高德打车订单,高德打车,CNY,,
食品,-19.0,,2025-08-22 12:11:59,支付宝,,智盘消费_麦金地-鱼鱼生香-机具5371_刷脸时间_2025-08-22 12:11,鱼鱼生香,CNY,,
食品,-18.0,,2025-08-21 14:06:31,支付宝,,点餐-杭州菜鸟总部店,Manner Coffee,CNY,,
食品,-25.9,,2025-08-21 12:09:23,支付宝,,智盘消费_麦金地-星级自选-机具5377_刷脸时间_2025-08-21 12:09,麦选优品2,CNY,,
食品,-20.0,,2025-08-20 12:26:25,支付宝,,智盘消费_迈志豪-嘿小面-机具5360_刷脸时间_2025-08-20 12:26,嘿小面,CNY,,
食品,-13.0,,2025-08-19 12:16:09,支付宝,,智盘消费_礼信-零点餐线2-机具5389_刷脸时间_2025-08-19 12:16,零点餐线2,CNY,,
食品,-24.19,,2025-08-18 12:20:53,支付宝,,智盘消费_迈志豪-自选餐线A-机具5364_刷脸时间_2025-08-18 12:20,自选餐线A,CNY,,
食品,-40.0,,2025-08-17 19:47:39,支付宝,,餐台24结账1000085597,炉上夜档（华夏之心店）,CNY,,
交通,-18.01,,2025-08-17 18:52:33,支付宝,,高德打车订单,高德打车,CNY,,
食品,-21.28,,2025-08-17 14:11:31,支付宝,,章台柳铜锣烧(余杭万达店)外卖订单,淘宝闪购,CNY,,
食品,-18.8,,2025-08-16 22:05:03,支付宝,,鲜丰水果(杭州新里程店),淘宝闪购,CNY,,
其他,-39.72,,2025-08-16 19:00:53,支付宝,,收钱码收款,简潮造型,CNY,,
交通,-21.7,,2025-08-16 18:41:45,支付宝,,高德打车订单,高德打车,CNY,,
