类别,金额,已收金额,日期,源账户,目标账户,描述,代理,货币,检查编号,时间
购物,-920.0,,2025-08-30 13:24:29,微信,,苹果卡100000(为微信账号购买),资和信,CNY,,
旅游,-10.0,,2025-08-30 12:25:42,微信,,小鲸下单,仙居神仙居旅游客运,CNY,,
旅游,-3.0,,2025-08-30 09:37:11,微信,,小鲸下单,浙江神仙居旅游集团,CNY,,
旅游,-88.0,,2025-08-29 22:22:17,微信,,小鲸下单,浙江神仙居旅游集团,CNY,,
旅游,-199.0,,2025-08-27 11:27:09,微信,,诗画浙江·文旅惠民卡,诗画浙江·文旅惠民卡,CNY,,
亲属,-7.1,,2025-08-27 07:51:22,微信,,亲属卡,M,CNY,,
亲属,-17.46,,2025-08-27 07:41:09,微信,,亲属卡,M,CNY,,
亲属,-1.3,,2025-08-25 16:21:19,微信,,亲属卡,M,CNY,,
亲属,-17.9,,2025-08-25 07:43:11,微信,,亲属卡,M,CNY,,
亲属,-348.0,,2025-08-23 17:15:34,微信,,亲属卡,M,CNY,,
亲属,-12.9,,2025-08-23 16:26:39,微信,,亲属卡,M,CNY,,
亲属,-4.1,,2025-08-23 06:30:47,微信,,亲属卡,M,CNY,,
亲属,-7.8,,2025-08-22 09:59:55,微信,,亲属卡,M,CNY,,
亲属,-10.1,,2025-08-21 16:30:41,微信,,亲属卡,M,CNY,,
亲属,-33.4,,2025-08-19 07:36:45,微信,,亲属卡,M,CNY,,
亲属,-2.0,,2025-08-18 08:17:01,微信,,亲属卡,M,CNY,,
亲属,-5.4,,2025-08-18 07:36:20,微信,,亲属卡,M,CNY,,
亲属,-155.0,,2025-08-17 10:27:04,微信,,转账备注:微信转账,白开水的味道,CNY,,
亲属,-4.1,,2025-08-17 08:42:07,微信,,亲属卡,M,CNY,,
亲属,-3.2,,2025-08-17 08:29:29,微信,,亲属卡,M,CNY,,
亲属,-3.4,,2025-08-17 08:22:35,微信,,亲属卡,M,CNY,,
亲属,-11.4,,2025-08-17 07:47:20,微信,,亲属卡,M,CNY,,
亲属,-12.21,,2025-08-16 07:44:57,微信,,亲属卡,M,CNY,,
亲属,-48.3,,2025-08-16 07:36:18,微信,,亲属卡,M,CNY,,
亲属,-160.5,,2025-08-14 07:53:34,微信,,亲属卡,M,CNY,,
亲属,-1.9,,2025-08-14 07:43:06,微信,,亲属卡,M,CNY,,
亲属,-83.0,,2025-08-13 08:00:38,微信,,亲属卡,M,CNY,,
食品,16.5,,2025-08-12 22:50:58,微信,,美团,美团,CNY,,
购物,-774.71,,2025-08-11 22:21:45,微信,,亚马逊订单,亚马逊,CNY,,
亲属,-46.5,,2025-08-10 08:35:00,微信,,亲属卡,M,CNY,,
亲属,-1.9,,2025-08-09 08:19:28,微信,,亲属卡,M,CNY,,
其他,-35.2,,2025-08-08 13:38:09,微信,,/,小红书,CNY,,
亲属,-53.3,,2025-08-08 07:28:25,微信,,亲属卡,M,CNY,,
亲属,-8.6,,2025-08-07 07:43:57,微信,,亲属卡,M,CNY,,
亲属,-11.5,,2025-08-07 07:25:38,微信,,亲属卡,M,CNY,,
亲属,-162.6,,2025-08-05 08:02:32,微信,,亲属卡,M,CNY,,
亲属,-14.18,,2025-08-05 07:39:50,微信,,亲属卡,M,CNY,,
亲属,-2.8,,2025-08-04 09:50:57,微信,,亲属卡,M,CNY,,
亲属,-2.0,,2025-08-03 07:59:47,微信,,亲属卡,M,CNY,,
亲属,-3.0,,2025-08-02 09:25:41,微信,,亲属卡,M,CNY,,
亲属,-3.0,,2025-08-01 21:23:07,微信,,亲属卡,M,CNY,,
亲属,-3.0,,2025-08-01 16:47:45,微信,,亲属卡,M,CNY,,
亲属,-333.28,,2025-08-01 16:26:24,微信,,亲属卡,M,CNY,,
食品,-16.5,,2025-08-01 11:17:10,微信,,星巴克-美团微信小程序-25080111100400001300775840319258,美团,CNY,,
